No.,Hand,Combos,Marginal,Paired,Suited,Connectedness,UTG,HJ,CO,BTN,UTG_Advice,HJ_Advice,CO Advice,BTN_Advice
1,AA,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
2,KK,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
3,QQ,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
4,JJ,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
5,TT,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
6,99,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
7,88,6,No,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
8,77,6,Yes,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
9,66,6,Yes,Yes,No,Pocket Pair,RAISE,RAISE,RAISE,RAISE,This hand is strong enough to open to 2.25 big blinds from UTG. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
10,55,6,Yes,Yes,No,Pocket Pair,MIXED_FOLD_RAISE,RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from HJ. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
